Name,Team,Position,Cost,Creativity,Influence,Threat,Goals_conceded,Goals_scored,Assists,Own_goals,Yellow_cards,Red_cards,TSB,Minutes,Bonus,points
Bruno,BHA,DEF,44.17,404.9,684.4,47,29,0,3,0,3,0,0.32,3457,22,192
Byram,WHU,DEF,45,37.6,71,36,7,0,0,0,1,0,0.01,246,0,5
Cahill,CHE,DEF,52.58,55.6,516.2,99,27,0,0,0,1,1,0.79,2229,2,81
Cairney,FUL,MID,48.5,931.4,634.6,168,74,0,10,0,0,0,1.43,2939,0,106
Calvert-Lewin,EVE,FWD,53.75,564.3,944.8,1359,75,17,8,0,12,0,1.02,4516,16,234
Capoue,WAT,MID,50.25,491.9,1789.2,573,115,5,14,0,43,0,0.81,8287,51,286
Carrillo,SOU,FWD,55,64.2,50.2,179,8,0,1,0,0,0,0,449,0,15
Carroll,WHU,FWD,54.33,110.2,145.4,344,13,3,1,0,5,1,0.01,742,6,36
Cathcart,WAT,DEF,45,84.5,1678,854,93,9,0,6,6,0,0.78,7293,27,278
Cavaleiro,WOL,MID,53.25,285.2,301.4,243,6,7,0,0,5,0,0.11,537,3,58
Chalobah,WAT,MID,45,39.8,89.2,101,8,0,0,0,2,0,0.22,583,0,25
Chamberlain,LIV,MID,64.33,625.1,548,494,28,3,7,0,3,0,0.01,1718,5,94
Chambers,ARS,DEF,43.58,65.1,1090.6,262,83,0,0,0,6,0,1.12,3843,0,72
Chicharito,WHU,FWD,63.17,498.7,530.4,1076,98,10,12,0,3,0,1.52,3365,16,196
Chilwell,LEI,DEF,50.08,1790.2,1826.4,1026,144,0,8,0,6,1,1.01,8688,30,287
Choudhury,LEI,MID,44.08,20.2,68,16,9,0,1,0,1,0,0.1,375,0,13
Christensen,CHE,DEF,51.58,66.5,466.6,109,23,0,0,0,0,0,0.66,2067,4,79
Christie,FUL,DEF,43.42,761.2,733,181,91,0,0,0,6,0,0.18,2882,0,32
Clark,NEW,DEF,45,70.9,1608.6,644,116,10,1,0,3,0,0.24,6127,6,209
Cleverley,WAT,MID,50,464.8,332.2,124,33,1,2,0,1,1,0,1900,3,58
Clyne,LIV,DEF,47.17,23.8,21.8,41,1,0,0,0,1,0,0.33,173,0,7
Coady,WOL,DEF,45,54.1,1258.2,0,77,0,0,0,15,0,0.56,6840,18,240
Coleman,EVE,DEF,53.25,477,1196.2,609,81,2,1,0,4,0,1.54,5535,4,147
Connolly,CAR,DEF,39.25,0,0,0,0,0,0,0,0,0,1.26,0,0,0
Cork,BUR,MID,48.33,1181.8,1286.6,658,174,2,1,0,30,0,0.68,9984,6,243
Costa,WOL,MID,49.17,747.6,348.6,902,76,0,0,0,1,0,0.63,5204,0,158
Cresswell,WHU,DEF,52.58,992.9,960.6,219,81,1,7,0,16,0,1.06,4554,10,142
Cunningham,CAR,DEF,43.17,129.1,235.2,50,48,0,0,0,7,0,0.09,1260,0,1
Cedric,SOU,DEF,44.25,1406.6,1733.4,711,161,0,12,0,27,0,6.28,9249,44,283
Dalot,MUN,DEF,53.92,0,0,0,0,0,0,0,0,0,0.02,0,0,0
Damour,CAR,MID,44.25,3.7,2.4,32,6,0,0,0,0,0,0.08,67,0,7
Daniels,BOU,DEF,43.42,975,1156.6,357,81,1,3,0,11,0,8.77,6121,4,199
Danilo,MCI,DEF,52,158.1,376,176,11,3,2,0,2,0,0.52,1340,8,100
Dann,CRY,DEF,44.33,62.3,342.2,268,26,1,0,0,4,0,0,1434,0,32
Darmian,MUN,DEF,47.42,50.6,321.6,83,14,0,0,0,0,0,0.24,1433,3,49
DavidLuiz,CHE,DEF,55.08,599,1766.6,512,66,1,2,0,14,1,4.17,7638,27,329
DavidSilva,MCI,MID,85.17,4310.3,2674.8,3768,50,30,19,0,15,0,7.35,7246,72,476
Davies,TOT,DEF,57.42,1635.9,1261.8,913,66,2,7,0,6,0,3.95,5987,14,243
Davis,SOU,MID,47.83,352.4,353.2,126,29,3,2,0,0,0,0.12,1563,6,79
DeBruyne,MCI,MID,97.67,1973.1,1214.6,906,22,8,18,0,13,0,7.83,3588,25,216
Deeney,WAT,FWD,60.17,1433.2,1708.8,3244,114,24,12,0,7,1,3.93,7806,46,345
Defoe,BOU,FWD,57.67,144.9,230.4,700,35,4,2,0,1,0,0.57,1181,5,82
Defour,BUR,MID,54.25,371,482.2,117,49,1,1,0,6,0,0,2798,0,81
Delph,MCI,DEF,53.42,450.1,617.6,62,17,1,2,0,2,0,0.32,2920,16,163
Dembele,TOT,MID,49.17,433.9,689.6,84,66,0,0,0,15,0,1.2,5624,3,149
Depoitre,HUD,FWD,52.92,686.9,591.6,1304,123,6,9,0,6,0,0.76,5032,14,206
Deulofeu,WAT,MID,54.17,312.6,232.6,405,6,4,2,0,1,0,0.62,1197,3,74
Diabate,LEI,MID,47.92,130.8,98.6,67,12,0,1,0,1,0,0.02,579,0,21
Diakhaby,HUD,MID,48,129.9,149.8,76,54,0,0,0,0,0,0.01,2111,0,79
Diame,NEW,MID,49.67,471.2,1398,728,133,2,0,0,19,0,0.1,8778,3,227
Diaz,MCI,MID,48.25,5.6,6.8,53,1,0,0,0,0,0,0.02,50,0,5
Dier,TOT,MID,48.58,917.1,1616.6,540,77,5,2,0,15,0,1.74,8143,2,249
Diop,WHU,DEF,43.58,115.2,1127.4,244,70,0,0,10,10,0,0.69,4950,0,96
Doherty,WOL,DEF,46.08,1396.1,1483.2,1636,77,5,14,10,1,0,7.38,6544,57,345
Doucoure,WAT,MID,59.25,2044,2197.2,1280,150,7,30,9,21,0,2.08,10164,58,397
Douglas,WOL,DEF,50,0,0,0,0,0,0,0,0,0,0.33,0,0,0
Drinkwater,CHE,MID,48.08,88.1,116.4,54,7,1,0,0,0,0,0.12,520,1,24
Duffy,BHA,DEF,45.33,217.9,3698.8,960,172,18,17,0,19,0,3.97,10132,27,408
Dummett,NEW,DEF,44.67,422.6,1431.4,101,97,0,0,0,1,0,0.21,7412,0,232
Dunk,BHA,DEF,44.25,431.5,2154,654,144,4,1,4,12,0,2.08,8650,17,246
Durm,HUD,DEF,44.67,371.6,375.6,286,52,0,0,0,0,0,0.12,2421,0,44
EcueleManga,CAR,DEF,45,522.1,1454.6,46,156,0,6,0,0,0,0.12,6840,0,184
Elneny,ARS,MID,43.58,194.4,138.2,92,12,0,1,0,3,1,2.53,865,0,22
Elyounoussi,SOU,MID,63.33,1515.8,530.4,1190,20,0,0,0,0,0,0.27,3447,0,115
Emerson,CHE,DEF,52.92,28.7,61.8,48,4,0,1,0,0,0,0.12,278,0,14
Enobakhare,WOL,MID,43.92,0,0,0,0,0,0,0,0,0,0.22,0,0,0
Eriksen,TOT,MID,93,3369.8,2066,2175,99,11,27,0,0,0,8.3,8171,23,376
Evans,LEI,DEF,48.92,133.5,856.6,279,57,2,2,1,17,0,0.41,4422,5,172
Fabinho,LIV,MID,56.75,93.1,97.8,56,5,0,0,0,2,0,0.7,624,0,15
FelipeAnderson,WHU,MID,68.75,2512.8,1737.2,1104,120,11,10,0,19,0,3.04,6236,24,248
Fellaini,MUN,MID,49.83,535.7,1201.2,980,57,4,18,0,1,0,0.81,4253,3,207
Fernandes,WHU,MID,45,97.3,110.8,77,20,0,2,0,1,0,0.15,840,0,29
Fernandinho,MCI,MID,54.25,1599.7,2151.8,1193,56,9,16,0,17,0,5.14,9577,21,374
Firmino,LIV,FWD,93.75,2300.2,2474.8,3752,47,32,29,0,1,0,25.34,8737,62,493
Foden,MCI,MID,47.5,335.2,122.2,355,1,0,1,0,0,0,0.13,381,0,38
Fonte,FUL,MID,44.17,0,0,0,0,0,0,0,0,0,0.28,0,0,0
Francis,BOU,DEF,44.25,891.1,1823.4,298,107,0,12,0,8,1,0.4,6272,3,206
Fraser,BOU,MID,58.42,3280.9,2788.6,2033,140,32,33,0,6,0,15.49,8622,87,565
Fred,MUN,MID,57.33,861.4,645.2,406,75,7,0,0,11,0,2.45,3469,21,144
Fredericks,WHU,DEF,47.5,354.5,423.6,96,83,0,0,0,19,0,0.36,2717,0,10
Fuchs,LEI,DEF,43.08,282.2,396.6,55,35,0,1,1,1,0,0.57,1917,8,57
Fabregas,CHE,MID,63.42,1361,731,487,26,2,4,0,4,1,0.59,2382,7,95
Gabbiadini,SOU,FWD,57.33,270.4,316,583,48,6,0,0,2,0,0.23,2235,13,127
Gayle,NEW,FWD,60,333.6,352,808,31,6,3,0,3,0,0.17,1946,8,94
Gibbs-White,WOL,MID,44,134.9,34.4,21,1,0,0,0,10,0,0.36,363,0,29
Giroud,CHE,FWD,78.25,1546.9,1016.8,2100,28,7,31,0,0,0,3.02,3596,26,270
Gomez,LIV,DEF,50.67,883.5,1809.2,407,47,0,2,0,4,0,2.77,8086,29,408
Gosling,BOU,MID,49.42,892.4,1203,522,107,2,1,0,35,0,0.1,6692,4,160
Gray,LEI,MID,54.67,976.9,1089,1650,109,15,6,0,4,0,1.38,6131,22,292
Gross,BHA,MID,67.92,2071.5,1442.2,1142,87,17,8,0,2,0,3.79,5098,54,276
Gudmundsson,BUR,MID,59.67,2485,1990.2,1755,132,10,44,0,13,0,2.2,8071,35,422
Guendouzi,ARS,MID,45,407.1,733.2,161,86,0,0,0,12,0,2.32,3902,0,82
Gueye,EVE,MID,49,738.4,2040.4,446,148,2,2,0,23,1,0.38,8740,7,215
Gunnarsson,CAR,MID,44.25,81.7,136.6,20,17,0,0,0,4,0,0.67,790,0,16
Gundogan,MCI,MID,54.92,1566.6,1328.6,1497,35,12,19,0,3,0,2.52,4865,53,329
Hadergjonaj,HUD,DEF,44.58,1101.1,840,319,149,0,1,0,12,0,0.1,6783,5,176
Halford,CAR,DEF,40,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Hayden,NEW,MID,44.25,191.5,435.2,144,41,1,0,0,7,10,0.17,2301,0,38
Hazard,CHE,MID,109.83,3956.8,4033,4307,58,65,34,0,6,0,32.62,7317,117,755
Hemed,BHA,FWD,49.17,66.1,152,227,8,2,2,0,0,0,0.13,842,5,43
Henderson,LIV,MID,53.42,862.5,975,122,44,1,1,0,1,0,0.87,5361,3,185
Hendrick,BUR,MID,54.42,839.3,838,1575,152,12,2,0,8,0,0.19,6508,1,245
Herrera,MUN,MID,50,250.2,449.2,501,38,0,2,0,14,0,0.12,2084,0,64
Hoedt,SOU,DEF,44.5,287.1,2185.6,290,159,0,2,9,17,0,0.34,9360,22,265
Hogg,HUD,MID,44.33,493,922.4,139,104,0,1,0,8,11,0.23,5896,3,125
Hoilett,CAR,MID,52.33,543.8,414.4,480,126,0,3,0,11,0,0.2,4581,0,117
Holding,ARS,DEF,44.17,54.7,758.6,70,35,0,1,0,7,0,0.62,3066,23,115
Holebas,WAT,DEF,47.67,2931.7,2590.8,480,134,11,44,0,50,0,12.85,8535,64,431
Holgate,EVE,DEF,44.83,139.5,1158.4,125,99,0,0,0,12,0,0.2,5030,0,84
Hudson-Odoi,CHE,MID,43.17,1.7,8.8,27,1,0,0,0,0,0,1.45,27,0,2
Hughes,WAT,MID,50,1466.9,1553.2,1483,96,12,10,0,16,0,1.5,7186,25,299
Hugill,WHU,FWD,50,0.4,0,0,0,0,0,0,0,0,0.01,22,0,3
Hyndman,BOU,MID,45,12.5,5,0,1,0,0,0,0,0,0.02,58,0,1
Hojbjerg,SOU,MID,44.83,1178.7,1629.4,954,127,17,0,0,12,10,3.24,6206,33,238
Ibe,BOU,MID,52.08,1110.8,481.2,736,56,2,6,0,1,0,0.32,2503,5,112
Iborra,LEI,MID,48.08,171.1,445.4,219,37,3,0,0,0,0,0.06,1837,6,83
Iheanacho,LEI,FWD,59.33,1178.5,985.6,1186,76,10,34,0,3,0,1.37,4893,26,312
Ince,HUD,MID,50,331.3,253,794,39,2,1,0,0,0,0.02,2450,3,82
Ings,LIV,FWD,56,1277.3,1578.6,3520,75,30,2,0,5,0,5.17,5346,38,296
Iwobi,ARS,MID,55,1253.4,1275.2,1323,72,13,23,0,1,0,1.16,4375,2,263
Izquierdo,BHA,MID,59.17,334.7,495,891,38,5,9,0,2,0,0.16,2883,4,151
Jach,CRY,DEF,40,0,0,0,0,0,0,0,0,0,0.09,0,0,0
Jagielka,EVE,DEF,43.58,24.1,530.4,108,61,0,0,0,2,11,0.82,2506,5,28
James,LEI,MID,44.42,52.7,114.6,145,15,0,0,0,2,0,0,991,0,26
Janmaat,WAT,DEF,49.67,1087.2,1581.2,567,89,3,11,0,23,0,0.46,6616,41,253
JazzRichards,CAR,DEF,39.25,10.6,87.4,0,30,0,0,0,0,0,0.79,685,0,4
Jesus,MCI,FWD,103,1363,1388.4,3719,31,23,7,0,6,0,1.87,4125,28,252
Jimenez,WOL,FWD,55.92,1469,1561.6,3021,76,21,21,0,0,0,6.47,6389,23,318
Johansen,FUL,MID,52.92,147,323.8,12,77,0,0,0,13,0,0.12,1978,0,63
Jones,MUN,DEF,52.42,39.3,560.2,12,29,0,0,1,2,0,1.08,2486,19,116
Jorginho,CHE,MID,50.75,1469.7,1765.8,368,53,11,0,0,1,0,11.18,6712,11,252
Joselu,NEW,FWD,49.92,530.2,1310.4,2533,98,24,1,0,13,0,4.11,5295,34,260
Jota,WOL,MID,61.42,1102.4,405.8,1276,68,0,11,0,18,0,2.57,5549,0,177
Kabasele,WAT,DEF,45,123.1,1840.6,1426,127,2,0,1,5,5,0.56,7989,2,203
Kaboul,WAT,DEF,43.25,0.9,47.4,2,3,0,0,0,0,0,0.13,151,0,7
Kachunga,HUD,FWD,49,230.9,203.4,427,38,1,1,0,1,0,0.09,2525,0,78
Kamara,FUL,FWD,44.17,646.9,144.2,404,65,0,0,0,3,0,8.87,1639,0,39
Kane,TOT,FWD,124.5,1734.8,3232,5786,103,69,12,0,30,0,27.31,9766,100,601
Kante,CHE,MID,49.67,2295.6,2029,1273,85,12,5,0,20,0,18.65,9794,9,335
Kayal,BHA,MID,44.25,341.3,809.4,176,58,4,5,0,21,0,0.36,3092,0,119
Keane,EVE,DEF,49.33,457,2475.4,1365,125,10,16,0,3,0,1.92,7869,73,379
Kebano,FUL,MID,44.17,0,0,0,0,0,0,0,0,0,0.11,0,0,0
Keita,LIV,MID,73.25,652.7,615.2,714,0,0,0,0,0,0,3.36,3855,0,155
Kelly,CRY,DEF,39.33,69,645.4,84,60,0,0,1,1,0,6.23,2933,1,54
Kenedy,NEW,MID,49.42,509.7,1012.2,1316,66,7,3,0,1,0,1.55,5950,6,202
Kenny,EVE,DEF,43.5,430.2,840.4,97,74,0,10,0,2,0,0.22,3929,2,135
KiSung-yueng,NEW,MID,48.08,564.1,556.4,246,66,2,4,0,2,0,0.15,3745,9,123
KikoFemenia,WAT,DEF,43,624.4,766.8,206,64,1,4,0,2,0,0.68,3482,18,173
King,BOU,FWD,63.67,1752,2034.2,2815,111,36,12,0,13,0,4.45,8527,71,437
Klaassen,EVE,MID,60,33.7,23,28,6,0,0,0,0,0,0.02,248,0,7
Klavan,LIV,DEF,44.17,65,357.2,43,15,1,0,0,0,0,0.09,1449,9,78
Knockaert,BHA,MID,55,2105.4,1825.6,1964,145,10,28,0,21,1,1.01,8160,15,340
Kolasinac,ARS,DEF,49.17,378.8,470.8,414,33,2,4,0,3,0,0.69,2381,6,114
Kompany,MCI,DEF,53.25,227.3,1011.4,184,31,1,1,0,20,0,1.62,3610,2,124
Kongolo,HUD,DEF,44.08,385.1,1182.4,157,145,0,0,10,18,0,0.18,6300,2,114
Koscielny,ARS,DEF,54.33,123.8,692,137,32,2,0,0,4,0,0.11,2225,16,100
Kouyate,WHU,MID,48.17,628.7,990.4,757,92,2,6,0,16,0,0.34,5153,2,180
Lacazette,ARS,FWD,95.5,1729,2452.6,3812,93,42,38,0,3,0,7.99,7188,64,521
Lallana,LIV,MID,69.17,217.5,96,276,1,0,0,0,5,0,1.12,716,0,40
Lamela,TOT,MID,64.33,752.4,1211.6,1827,26,23,14,0,4,0,0.62,2312,20,264
Lanzini,WHU,MID,64.17,624.9,559.4,502,44,5,7,0,4,0,0.01,2039,11,106
Laporte,MCI,DEF,56.92,528.8,1839.8,1173,37,10,0,0,4,0,6.62,7646,5,423
Lascelles,NEW,DEF,48.67,150.3,2110.4,704,102,3,0,0,5,0,5.35,8327,38,314
LeMarchand,FUL,DEF,43.75,161.3,1258,140,138,0,0,0,9,0,0.23,4815,10,48
Lejeune,NEW,DEF,44.25,92.3,557,139,32,0,2,0,3,0,0.03,2103,6,66
Lemina,SOU,MID,49.75,819,1492,1132,148,1,11,0,28,0,0.29,8455,5,241
Lennon,BUR,MID,50,824.5,1061.4,1095,152,7,11,0,8,0,0.93,8314,14,293
LewisCook,BOU,MID,48.5,572.6,677.2,266,68,0,2,0,6,0,0.22,4244,0,148
Lichtsteiner,ARS,DEF,47.33,104.5,48.2,26,18,0,0,0,3,0,1.33,980,0,19
Lindelof,MUN,DEF,48.92,66.5,1369.2,91,107,0,0,6,1,0,1.02,6858,1,175
Lingard,MUN,MID,68.08,1149.4,745.2,1666,62,8,6,0,2,0,3.87,4903,10,219
Llorente,TOT,FWD,57.5,75.8,60.2,133,2,1,0,0,1,0,0.22,321,2,35
Locadia,BHA,FWD,53.83,230.6,116.4,662,30,1,1,0,8,0,0.12,1462,2,77
Loftus-Cheek,CHE,MID,52.83,606.1,605.6,628,30,5,5,0,1,0,0.73,2392,2,121
Long,SOU,FWD,48.58,732.8,531,1463,84,2,2,0,6,0,1.35,4759,0,147
Lookman,EVE,MID,52.08,106,152.6,108,6,0,5,0,0,0,0.16,740,0,49
Lovren,LIV,DEF,49.25,129.4,957.2,268,27,2,1,0,4,0,3.11,3204,37,197
Lowton,BUR,DEF,48.33,684.5,1464.2,283,146,0,3,0,21,0,0.54,7563,4,215
LucasMoura,TOT,MID,72.33,1321.8,1717.8,1995,68,30,10,0,12,0,14.39,6538,31,389
Lukaku,MUN,FWD,109.5,1627.5,2398.2,4453,149,52,8,0,13,0,8.23,8447,65,478
Lowe,HUD,DEF,44.33,1297.3,1297,279,176,0,14,0,1,0,0.14,7234,25,209
Maddison,LEI,MID,67.5,2318.9,1918,1550,103,25,15,0,0,0,9.42,5935,25,363
Madine,CAR,FWD,44.67,8.1,22,50,27,0,0,0,0,0,1.16,211,0,36
Maguire,LEI,DEF,55,486.5,3177,1898,174,18,10,0,35,0,15.51,10042,58,418
Mahrez,MCI,MID,87.25,2097.7,2040,2793,61,33,14,0,2,0,3.33,6168,43,425
Maitland-Niles,ARS,MID,44.17,254.6,287.2,67,27,0,0,0,1,0,0.37,1282,0,36
Malone,HUD,DEF,40,146.8,221.6,97,23,0,1,0,3,0,3.07,1110,4,41
Manquillo,NEW,DEF,44.17,176.6,390.2,26,46,0,1,0,12,0,0.12,2717,1,60
Mane,LIV,MID,98.17,2063.2,2874.2,3799,52,57,8,0,9,1,33.51,8460,97,653
March,BHA,MID,50,1353.9,1165.8,998,139,1,16,0,3,0,0.16,7785,5,278
Mariappa,WAT,DEF,43.08,114.3,676.4,162,46,0,0,0,4,0,0.17,3290,2,120
Martial,MUN,MID,73.42,1261.8,1387.2,1739,77,28,11,0,11,0,3.23,4245,46,331
Martina,EVE,DEF,45,238.8,468.8,39,30,0,2,0,2,0,0.09,1830,0,55
Masina,WAT,DEF,43.42,73.8,208.8,16,0,0,3,0,3,0,0.11,678,4,60
Masuaku,WHU,MID,44.42,744.5,1821.6,214,145,0,3,0,13,0,2.06,7267,2,187
Mata,MUN,MID,62.83,1560.9,976,781,67,8,16,0,5,0,1.3,4692,16,241
Matic,MUN,MID,50,850.9,1206,562,96,1,1,0,13,8,0.89,7077,3,163
Matip,LIV,DEF,49.17,131.8,937.8,259,35,8,0,0,3,0,0.19,2654,24,215
Mavropanos,ARS,DEF,48.25,1.3,52.2,2,5,0,0,0,0,1,0.13,194,0,4
Mbemba,NEW,DEF,40,67.1,158.2,6,11,0,0,0,0,0,0.37,670,3,20
McArthur,CRY,MID,48.67,1429.7,1352,1364,125,5,4,0,18,0,1.15,8900,9,272
McCarthy,EVE,MID,44.42,19.3,33.8,4,6,0,0,0,0,0,0,204,0,6
McDonald,FUL,MID,44.17,366.6,534.2,134,131,0,0,0,15,3,0.36,4447,0,79
McQueen,SOU,DEF,40,34.2,29.4,8,2,0,0,0,0,0,0.86,142,2,14
McTominay,MUN,MID,43.92,79.4,208.8,101,42,0,0,0,2,0,0.69,1596,0,57
Mee,BUR,DEF,49.08,319.6,2810,659,173,0,10,0,10,0,3.37,9408,28,308
Mendez-Laing,CAR,MID,48.67,14.9,83.6,353,11,0,0,0,0,0,0.02,892,0,42
Mendy,MCI,DEF,62.83,1651.4,1874.8,661,33,0,56,0,7,0,19.64,5310,58,439
Merino,NEW,MID,50,236.7,374.8,156,18,1,1,0,4,0,0,1337,4,49
Milivojevic,CRY,MID,62.33,1903.1,2490.8,1136,148,16,2,0,14,0,4.92,9919,30,347
Milner,LIV,MID,56.08,2671.4,2267,1076,53,12,23,0,18,0,4.55,7354,40,389
Mings,BOU,DEF,43.75,14.8,46.6,10,5,0,0,0,1,0,0.13,201,0,3
Mir,WOL,FWD,45,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Mirallas,EVE,MID,55,20.2,16.4,42,8,0,0,0,1,0,0,135,0,5
Miranda,WOL,DEF,40,0,0,0,0,0,0,0,0,0,0.14,0,0,0
