Name,Team,Position,Cost,Creativity,Influence,Threat,Goals_conceded,Goals_scored,Assists,Own_goals,Yellow_cards,Red_cards,TSB,Minutes,Bonus,points
Schindler,HUD,DEF,43.83,307.8,2370.8,488,215,5,4,0,27,1,2.26,9984,49,294
Schlupp,CRY,DEF,45,614.7,1143.2,972,88,11,2,0,14,0,2.83,5861,0,250
Schneiderlin,EVE,MID,44.5,671.5,897,72,85,0,10,0,13,1,1.92,4509,1,142
Sema,WAT,MID,48.17,16.1,113,191,10,0,0,0,0,0,0.1,571,0,41
Seri,FUL,MID,54.42,2268,1802.8,266,174,10,13,0,0,0,3.02,6149,50,277
Sessegnon,FUL,MID,62.08,999.1,1045.4,1349,164,4,10,0,0,0,4.99,5283,4,186
Shaqiri,LIV,MID,71.42,1594.5,1143.8,1105,63,12,33,0,5,0,2.88,4304,19,300
Shaw,MUN,DEF,50.58,1395.7,1836.2,1243,121,11,16,0,26,0,8.15,6817,37,306
Shelvey,NEW,MID,54.17,2348.1,1355.2,834,83,1,9,0,2,2,0.72,6504,4,202
Sigurdsson,EVE,MID,74.33,3505,2539.4,2131,130,32,16,0,12,0,3.79,8428,44,438
Silva,LEI,MID,48.83,189.2,286,65,29,0,2,0,3,0,0.22,1709,0,55
Simpson,BOU,DEF,39.33,0,6.2,0,2,0,0,0,0,0,4.69,71,0,1
Sims,SOU,MID,45,43.5,32.6,149,2,0,0,0,0,0,0.04,160,0,8
Sinclair,WAT,FWD,45,11,4.4,4,1,0,0,0,0,0,0.22,29,0,4
Sissoko,TOT,MID,49.33,809.5,630.8,602,36,1,5,0,3,0,0.12,3693,8,146
Smalling,MUN,DEF,58.25,87.2,1954.8,788,110,12,0,0,7,0,2.27,7395,34,312
Smith,HUD,DEF,44.25,294.6,496,70,91,0,1,0,7,0,0.1,2802,2,40
Sobhi,HUD,MID,48.33,309.2,256,226,43,2,1,0,2,0,0.17,1368,2,64
Sokratis,ARS,DEF,52.67,129.1,872.4,50,88,0,0,0,28,0,1.68,4586,0,45
Solanke,LIV,FWD,48.42,199.4,123.8,350,4,1,2,0,0,0,0.32,581,2,38
Son,TOT,MID,83.33,956.6,1003.6,1716,18,12,10,0,0,0,2.66,4017,16,260
Souare,CRY,DEF,43.67,2.2,11.2,0,0,0,0,0,0,0,0.1,19,0,12
Stanislas,BOU,MID,60,697.5,733.8,743,38,11,5,0,3,0,0.08,1911,25,156
Stephens,BHA,MID,44.33,590.1,1647,275,144,0,3,0,34,1,6.86,8543,2,185
Sterling,MCI,MID,110.67,2819.8,3223.8,4782,45,56,37,0,14,1,4.95,7849,70,683
SteveCook,BOU,DEF,45.83,211.8,3218.2,1047,157,12,11,1,8,0,7.64,9604,39,400
Stones,MCI,DEF,53.92,402.7,1115.2,212,33,0,0,0,0,0,7.51,5417,40,294
Sturridge,LIV,FWD,58.58,400,781.8,1193,16,19,1,0,4,0,1.09,1214,12,166
Surman,BOU,MID,48.33,748.3,880.8,238,89,2,5,0,7,0,0.26,5183,9,171
Suttner,BHA,DEF,39.17,105.6,187.4,17,18,0,0,0,0,0,5.73,1178,3,38
Sanchez,TOT,DEF,58.75,218.2,1766.4,497,63,0,16,1,6,1,2.11,6594,29,320
Sorloth,CRY,FWD,49.08,308.5,115,315,34,0,0,0,0,0,0.26,1132,0,70
Tarkowski,BUR,DEF,49.58,256.9,3684.4,1104,170,20,1,0,19,0,7.94,9114,15,377
Taylor,BUR,DEF,44.25,732.5,1231.6,105,118,0,0,0,11,0,0.27,5860,1,141
Tomkins,CRY,DEF,44,120,1763,660,89,3,0,0,22,0,5.05,7485,9,277
Torreira,ARS,MID,49.17,406.4,842.6,126,36,0,12,0,13,0,1.54,4070,3,143
Tosun,EVE,FWD,68.17,912.3,1167.2,1809,98,15,21,0,10,0,4.09,5347,9,269
Townsend,CRY,MID,58.33,2734,1786.8,1790,125,4,9,0,9,0,1.44,9636,7,303
Trippier,TOT,DEF,61.33,2745.5,2152.2,526,79,10,31,0,8,0,28.97,7470,83,507
Valencia,MUN,DEF,64.75,1283.9,1003.8,286,64,3,1,0,24,0,1.11,5711,22,231
Vardy,LEI,FWD,89.58,933.2,1859.4,3107,129,44,9,0,3,10,4.98,7142,65,407
Vertonghen,TOT,DEF,59.58,485,2596.6,820,93,11,1,0,4,0,7.75,8333,46,370
Vestergaard,SOU,DEF,48.42,185.6,1122.8,212,69,0,0,0,9,0,0.42,4590,0,142
Vinagre,WOL,DEF,43.75,222.5,96.6,8,0,0,0,0,0,0,0.12,411,0,34
Vlasic,EVE,MID,50,159.1,91.8,85,12,0,0,0,0,0,0.01,572,0,18
Vokes,BUR,FWD,53.5,662.8,850.6,1797,66,15,2,0,3,0,1.02,4541,34,242
Walcott,EVE,MID,65.08,1397.5,1855.2,2095,129,23,19,0,2,0,6.85,7356,33,394
Walker,MCI,DEF,65.33,1222.2,1692.6,496,44,9,6,1,2,1,12.74,8364,43,511
Walker-Peters,TOT,DEF,43.42,48.3,70.4,10,4,0,2,0,0,0,0.34,188,0,13
